#,Time in Sec,Time in usec, Bytes sent,Sender latitude,Sender longitude, Sender Speed(km/h),Sender Altitude(m), Receiver latitude, Receiver Longitude, Receiver Speed,Receiver Altitude(m), Packet Received (Y/N), Bytes Received, Signal Strength, Noise Strength
2943,1109190627,612090,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2944,1109190627,612107,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2945,1109190627,612120,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2946,1109190627,612133,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2947,1109190627,612145,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2948,1109190627,612158,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2949,1109190627,612171,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2950,1109190627,612184,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2951,1109190627,612197,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2952,1109190627,612210,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2953,1109190627,612223,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2954,1109190627,612235,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2955,1109190627,612248,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2956,1109190627,612261,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2957,1109190627,612274,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2958,1109190627,612287,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2959,1109190627,612300,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
2960,1109190627,612313,1470,33.807026N,84.415741W,54.599998,273.000000,33.832499N,84.425799W,44.700001,281.600006,N,0,0,0
